metric,dqn_mean,dqn_std,webster_mean,webster_std,delta_mean,winner
Throughput total (veh),370.4,58.59897610026987,370.2,58.92503712345033,0.19999999999998863,DQN
Throughput rate (veh/s),0.051444444444444445,0.008138746680593036,0.051416666666666666,0.008184032933812544,2.7777777777779344e-05,DQN
Neg lane wait integral,-2152841.6,555864.3235400524,-311707.2,116053.16654085748,-1841134.4000000001,Webster
Phase switches,90.0,0.0,302.0,0.0,-212.0,—
