config_key,n_seeds,mean_crossings_rate,std_crossings_rate
"DeltaWaitTimeReward|normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.26382407407407404,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.26262037037037034,0.0
"ThroughputReward|normalise=False,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.26212962962962966,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2619907407407408,0.0
"CompositeReward|alpha=0.5,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2619444444444444,0.0
"ThroughputQueueReward|normalise=True,queue_weight=1.0,scale=1.0,throughput_weight=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2616018518518518,0.0
"ThroughputQueueReward|normalise=True,queue_weight=1.0,scale=1.0,throughput_weight=2.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2615277777777778,0.0
"WaitTimeReward|normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2614444444444445,0.0
"CompositeReward|alpha=0.65,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2613333333333333,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=2.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.26120370370370366,0.0
"ThroughputReward|normalise=False,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2611851851851852,0.0
"CompositeReward|alpha=0.65,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2611481481481482,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=2.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2611296296296296,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.5,scale=1.0,throughput_weight=2.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2611203703703704,0.0
"ThroughputQueueReward|normalise=True,queue_weight=1.0,scale=1.0,throughput_weight=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.2610092592592593,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.5,scale=1.0,throughput_weight=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.26087962962962963,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.5,scale=1.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.26087037037037036,0.0
"CompositeReward|alpha=0.5,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2608148148148148,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.260787037037037,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,throughput_weight=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.0005,n_actions=2,target_update=200||EPOCHS=60",1,0.260787037037037,0.0
"ThroughputQueueReward|normalise=True,queue_weight=1.0,scale=1.0,throughput_weight=2.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999836835085317,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=60",1,0.2606851851851852,0.0
