config_key,n_seeds,mean_crossings_rate,std_crossings_rate,mean_throughput_rate,std_throughput_rate,mean_neg_lane_waiting_integral,std_neg_lane_waiting_integral
"ThroughputWaitTimeReward|alpha=0.3,beta=0.1,gamma=1.0,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.14491666666666667,0.0,0.14491666666666667,0.0,-7934821.4,0.0
"ThroughputWaitTimeReward|alpha=0.3,beta=0.0,gamma=1.0,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.1448888888888889,0.0,0.1448888888888889,0.0,-7619066.8,0.0
"ThroughputCompositeReward|alpha=0.3,beta=0.1,gamma=1.0,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.1448611111111111,0.0,0.1448611111111111,0.0,-6083157.4,0.0
"ThroughputCompositeReward|alpha=0.3,beta=0.0,gamma=1.0,normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.14480555555555555,0.0,0.14480555555555555,0.0,-6747745.0,0.0
