trial_id,status,seed,reward_class_name,policy_class_name,config_key,test_crossings_rate_mean,test_crossings_rate_std,test_crossings_total_mean,test_crossings_total_std,test_throughput_rate_mean,test_throughput_rate_std,test_throughput_total_mean,test_throughput_total_std,test_neg_lane_waiting_integral_mean,test_neg_lane_waiting_integral_std,reward.normalise,reward.queue_weight,reward.scale,reward.switch_weight,reward.throughput_weight,policy.batch_size,policy.epsilon_decay,policy.epsilon_end,policy.epsilon_start,policy.gamma,policy.hidden,policy.lr,policy.n_actions,policy.target_update
trial_0001,ok,42,ThroughputQueueReward,DoubleDQNPolicy,"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",0.5344444444444444,0.06238415189298808,3848.0,449.16589362951413,0.5344444444444444,0.06238415189298808,3848.0,449.16589362951413,-87211915.8,19909298.825251434,True,0.25,1.0,0.0,0.5,256,0.9999967366804079,0.05,1.0,0.97,256,0.001,2,200
trial_0002,ok,42,ThroughputQueueReward,DoubleDQNPolicy,"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.5,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",0.5345,0.062340326900207146,3848.4,448.85035368149147,0.5345,0.062340326900207146,3848.4,448.85035368149147,-84851590.6,24873488.044185203,True,0.25,1.0,0.5,0.5,256,0.9999967366804079,0.05,1.0,0.97,256,0.001,2,200
trial_0003,ok,42,WaitingTimeReward,DoubleDQNPolicy,"WaitingTimeReward|normalise=True,scale=1.0,switch_weight=0.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",0.6294722222222222,0.11108834488986848,4532.2,799.8360832070531,0.6294722222222222,0.11108834488986848,4532.2,799.8360832070531,-22002862.6,9580321.185802585,True,,1.0,0.0,,256,0.9999967366804079,0.05,1.0,0.97,256,0.001,2,200
trial_0004,ok,42,WaitingTimeReward,DoubleDQNPolicy,"WaitingTimeReward|normalise=True,scale=1.0,switch_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",0.14483333333333334,0.03174252609612163,1042.8,228.54618789207578,0.14483333333333334,0.03174252609612163,1042.8,228.54618789207578,-4149576.0,2267958.48965681,True,,1.0,0.5,,256,0.9999967366804079,0.05,1.0,0.97,256,0.001,2,200
