config_key,n_seeds,mean_crossings_rate,std_crossings_rate,mean_throughput_rate,std_throughput_rate,mean_neg_lane_waiting_integral,std_neg_lane_waiting_integral
"WaitingTimeReward|normalise=True,scale=1.0,switch_weight=0.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.6294722222222222,0.0,0.6294722222222222,0.0,-22002862.6,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.5,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.5345,0.0,0.5345,0.0,-84851590.6,0.0
"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.5344444444444444,0.0,0.5344444444444444,0.0,-87211915.8,0.0
"WaitingTimeReward|normalise=True,scale=1.0,switch_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999967366804079,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=300",1,0.14483333333333334,0.0,0.14483333333333334,0.0,-4149576.0,0.0
