trial_id,status,seed,reward_class_name,policy_class_name,config_key,test_crossings_rate_mean,test_crossings_rate_std,reward.alpha,reward.normalise,reward.queue_weight,reward.scale,reward.switch_weight,reward.throughput_weight,policy.batch_size,policy.epsilon_decay,policy.epsilon_end,policy.epsilon_start,policy.gamma,policy.hidden,policy.lr,policy.n_actions,policy.target_update
trial_0001,ok,42,ThroughputQueueReward,DoubleDQNPolicy,"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.0,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999951050246053,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=200",0.5344444444444444,0.062384151892988085,,True,0.25,1.0,0.0,0.5,256,0.9999951050246053,0.05,1.0,0.97,256,0.001,2,200
trial_0002,ok,42,ThroughputQueueReward,DoubleDQNPolicy,"ThroughputQueueReward|normalise=True,queue_weight=0.25,scale=1.0,switch_weight=0.5,throughput_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999951050246053,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=200",0.5335277777777778,0.062013514058839855,,True,0.25,1.0,0.5,0.5,256,0.9999951050246053,0.05,1.0,0.97,256,0.001,2,200
trial_0003,ok,42,WaitTimeReward,DoubleDQNPolicy,"WaitTimeReward|normalise=True,scale=1.0,switch_weight=0.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999951050246053,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=200",0.6306944444444444,0.11190742426192407,,True,,1.0,0.0,,256,0.9999951050246053,0.05,1.0,0.97,256,0.001,2,200
trial_0004,ok,42,WaitTimeReward,DoubleDQNPolicy,"WaitTimeReward|normalise=True,scale=1.0,switch_weight=0.5||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999951050246053,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=200",0.6238611111111111,0.10742451412302456,,True,,1.0,0.5,,256,0.9999951050246053,0.05,1.0,0.97,256,0.001,2,200
trial_0005,ok,42,DeltaWaitingTimeReward,DoubleDQNPolicy,"DeltaWaitingTimeReward|normalise=True,scale=1.0||DoubleDQNPolicy|batch_size=256,epsilon_decay=0.9999951050246053,epsilon_end=0.05,epsilon_start=1.0,gamma=0.97,hidden=256,lr=0.001,n_actions=2,target_update=200||EPOCHS=200",0.6310555555555556,0.11222361797811888,,True,,1.0,,,256,0.9999951050246053,0.05,1.0,0.97,256,0.001,2,200
